References;Description;Remarks;Quantity;Distributor;Distributor Part Number;LCSC Part Number
C1 C2;CAP CER 10UF 25V X5R 0805;10u;2;Digikey;1276-2891-1-ND;C15850
C3 C5 C8;CAP CER 0.1UF 25V X7R 0603;100n;3;Digikey;478-7018-1-ND;C14663
D1 D2 D3 D4 D5 D6 D7 D8 D30;DIODE ARRAY SCHOTTKY 40V SOT323;BAT54SW;9;Digikey;497-14153-1-ND;C22466373
D23 D24;DIODE SCHOTTKY 40V 1A SOD123;D_Schottky;2;Digikey;1N5819HW-FDICT-ND;C8598
Dummy1 Dummy2 Dummy3 Dummy4;CONN HDR 10POS 0.1 GOLD PCB;DPSM Header;4;Digikey;S7108-ND;
Dummy5;CONN HEADER VERT 36POS 2.54MM;Big Pin Header;1;Digikey;S1011E-36-ND;
J0;CONN HEADER VERT 10POS 2.54MM;POWER BUS;1;Digikey;732-2094-ND;
J1;CONN HDR 12POS 0.1 TIN PCB;P1;1;Digikey;S6100-ND;
J2;CONN HDR 9POS 0.1 TIN PCB;CIX;1;Digikey;S7007-ND;
J3 J7;CONN HDR 8POS 0.1 TIN PCB;BX;2;Digikey;S7006-ND;
J4;CONN HDR 8POS 0.1 TIN PCB;LX1;1;Digikey;S7006-ND;
J5;CONN HDR 10POS 0.1 TIN PCB;ANALOG;1;Digikey;S7008-ND;
J6;CONN HDR 4POS 0.1 TIN PCB;POWER2;1;Digikey;S7002-ND;
J9;CONN HDR 2POS 0.1 TIN PCB;POWER1;1;Digikey;S7000-ND;
J11;CONN HDR 2POS 0.1 TIN PCB;GND;1;Digikey;S7000-ND;
J12;CONN HDR 8POS 0.1 TIN PCB;LX2;1;Digikey;S7006-ND;
L1 L2;FERRITE BEAD 1 KOHM 0603 1LN;Ferrite_Bead;2;Digikey;732-1586-1-ND;C85824
R1 R47 R48 R49 R50 R51;RES SMD 1K OHM 1% 1/10W 0603;1K;6;Digikey;311-1KLDCT-ND;C21190
R4 R5 R6 R7 R8 R14 R15 R16;RES SMD 100K OHM 1% 1/10W 0603;100k;8;Digikey;541-100KHCT-ND;C25803
R79 R80;RES SMD 4.7K OHM 1% 1/10W 0603;4.7k;2;Digikey;311-4.70KHRCT-ND;C23162
R84 R85 R86 R87 R88 R89 R90 R91;RES SMD 1M OHM 1% 1/10W 0603;1M;8;Digikey;541-1.00MHCT-ND;C22935
U1;IC MUX/DEMUX 8X1 16TSSOP;4051;1;Digikey;296-11993-1-ND;C54587
U3;IC STATIC SHFT REG 8STG 16-TSSOP;4021;1;Digikey;296-14256-1-ND;C2877061
U6;IC LED DRIVER RGBA 28-TSSOP;PCA9685PW;1;Digikey;568-11925-1-ND;C2678753
DPSM1;Audio submodule, plugs into the 4 sockets below;;1;Electrosmith;DAISY-PATCH-SM;
